id,Player,height,weight,college,born,birth_city,birth_state
2845,Jerome Jordan,213,114,University of Tulsa,1986,Kingston,Jamaica
2846,Cory Joseph,190,87,University of Texas at Austin,1991,Toronto,Canada
2847,Brandon Knight,178,78,Stanford University,1975,Livingston,New Jersey
2848,Malcolm Lee,196,90,"University of California, Los Angeles",1990,Riverside,California
2849,Kawhi Leonard,201,104,San Diego State University,1991,Los Angeles,California
2850,Travis Leslie,193,92,University of Georgia,1990,Atlanta,Georgia
2851,Jon Leuer,208,103,University of Wisconsin,1989,Long Lake,Minnesota
2852,DeAndre Liggins,198,94,University of Kentucky,1988,Chicago,Illinois
2853,Shelvin Mack,190,92,Butler University,1990,Lexington,Kentucky
2854,Vernon Macklin,208,102,University of Florida,1986,Portsmouth,Virginia
2855,Darius Morris,193,86,University of Michigan,1991,Los Angeles,California
2856,Daniel Orton,208,115,University of Kentucky,1990,Oklahoma City,Oklahoma
2857,Jeremy Pargo,188,99,Gonzaga University,1986,Chicago,Illinois
2858,Chandler Parsons,208,104,University of Florida,1988,Casselberry,Florida
2859,Ryan Reid,203,105,Florida State University,1986,Lauderdale Lakes,Florida
2860,Josh Selby,188,83,University of Kansas,1991,Baltimore,Maryland
2861,Iman Shumpert,196,99,Georgia Institute of Technology,1990,Oak Park,Illinois
2862,Xavier Silas,196,92,Northern Illinois University,1988,San Antonio,Texas
2863,Chris Singleton,203,104,Florida State University,1989,Canton,Georgia
2864,Donald Sloan,190,92,Texas A&M University,1988,Shreveport,Louisiana
2865,Jerry Smith,188,86,University of Louisville,1987,Wauwatosa,Wisconsin
2866,Nolan Smith,188,83,Duke University,1988,Louisville,Kentucky
2867,Greg Stiemsma,211,117,University of Wisconsin,1985,Randolph,Wisconsin
2868,Julyan Stone,198,90,University of Texas at El Paso,1988,Alexandria,Virginia
2869,Isaiah Thomas,185,81,Indiana University,1961,Chicago,Illinois
2870,Lance Thomas,203,106,Duke University,1988,Brooklyn,New York
2871,Malcolm Thomas,206,102,San Diego State University,1988,Columbia,Missouri
2872,Trey Thompkins,206,107,University of Texas at Austin,1991,Toronto,Canada
2873,Klay Thompson,201,97,Washington State University,1990,Los Angeles,California
2874,Mychel Thompson,208,102,University of Minnesota,1955,Nassau,Bahamas
2875,Tristan Thompson,206,107,University of Texas at Austin,1991,Toronto,Canada
2876,Edwin Ubiles,198,92,Siena College,1986,Brooklyn,New York
2877,Nikola Vucevic,213,117,University of Southern California,1990,Morges,Switzerland
2878,Kemba Walker,203,95,University of Kentucky,1964,Roberta,Georgia
2879,Derrick Williams,190,90,University of Illinois at Urbana-Champaign,1984,Parkersburg,West Virginia
2880,Elliot Williams,196,86,University of Memphis,1989,Memphis,Tennessee
2881,Jordan Williams,188,83,New Mexico State University,1951,New Haven,Connecticut
2882,Chris Wright,203,102,University of Dayton,1988,Trotwood,Ohio
2883,Quincy Acy,201,108,Baylor University,1990,Tyler,Texas
2884,Josh Akognon,180,83,"California State University, Fullerton",1986,Greenbrae,California
2885,Will Barton,198,79,University of Memphis,1991,Baltimore,Maryland
2886,Aron Baynes,208,117,Washington State University,1986,Gisborne,New Zealand
2887,Kent Bazemore,196,91,Old Dominion University,1989,Kelford,North Carolina
2888,Bradley Beal,196,93,University of Florida,1993,St. Louis,Missouri
2889,Patrick Beverley,185,83,University of Arkansas,1988,Chicago,Illinois
2890,Chris Copeland,206,108,University of Colorado,1984,Orange,New Jersey
2891,Jae Crowder,198,106,Marquette University,1990,Villa Rica,Georgia
2892,Jared Cunningham,193,88,Oregon State University,1991,Oakland,California
2893,Anthony Davis,206,97,University of Texas at El Paso,1968,Oakland,California
2894,Andre Drummond,211,126,University of Connecticut,1993,Mount Vernon,New York
2895,Kim English,198,90,University of Missouri,1988,Baltimore,Maryland
2896,Festus Ezeli,211,115,Vanderbilt University,1989,Benin City,Nigeria
2897,Draymond Green,201,104,Michigan State University,1990,Saginaw,Michigan
2898,Ben Hansbrough,190,92,University of Notre Dame,1987,Poplar Bluff,Missouri
2899,Maurice Harkless,206,97,St. John's University,1993,Queens,New York
2900,John Henson,211,103,University of North Carolina,1990,Greensboro,North Carolina
2901,Justin Holiday,198,83,University of Washington,1989,Mission Hills,California
2902,Bernard James,208,108,Florida State University,1985,Savannah,Georgia
2903,John Jenkins,193,97,Vanderbilt University,1991,Nashville,Tennessee
2904,Orlando Johnson,196,99,"University of California, Santa Barbara",1989,Monterey,California
2905,Darius Johnson-Odom,201,95,Syracuse University,1970,Morgan City,Louisiana
2906,DeQuan Jones,203,100,University of Miami,1990,Stone Mountain,Georgia
2907,Kevin Jones,203,113,West Virginia University,1989,Mount Vernon,New York
2908,Perry Jones,211,106,Baylor University,1991,Winnsboro,Louisiana
2909,Terrence Jones,206,114,University of Kentucky,1992,Portland,Oregon
2910,Kris Joseph,201,95,Syracuse University,1988,Montreal,Canada
2911,Michael Kidd-Gilchrist,201,105,University of Kentucky,1993,Philadelphia,Pennsylvania
2912,Doron Lamb,193,95,University of Kentucky,1991,Queens,New York
2913,Jeremy Lamb,196,83,University of Connecticut,1992,Henrico Valley,Virginia
2914,Meyers Leonard,216,111,University of Illinois at Urbana-Champaign,1992,Woodbridge,Virginia
2915,Damian Lillard,190,88,Weber State University,1990,Oakland,California
2916,Scott Machado,185,92,Iona College,1990,Queens,New York
2917,Kendall Marshall,193,90,University of North Carolina,1991,Dumfries,Virginia
2918,Fab Melo,213,115,Syracuse University,1990,Juiz de Forz,Brazil
2919,Khris Middleton,203,106,Texas A&M University,1991,Charleston,South Carolina
2920,Darius Miller,203,106,University of Kentucky,1990,Maysville,Kentucky
2921,Quincy Miller,206,95,Baylor University,1992,Chicago,Illinois
2922,Arnett Moultrie,211,112,Mississippi State University,1990,Queens,New York
2923,Kevin Murphy,196,83,Tennessee Technological University,1990,Atlanta,Georgia
2924,Andrew Nicholson,206,113,St. Bonaventure University,1989,Mississauga,Canada
2925,Kyle O'Quinn,208,113,Norfolk State University,1990,Flushing,New York
2926,Miles Plumlee,211,112,Duke University,1988,Fort Wayne,Indiana
2927,Austin Rivers,193,90,Duke University,1992,Santa Monica,California
2928,Brian Roberts,185,78,University of Dayton,1985,Toledo,Ohio
2929,Thomas Robinson,208,107,University of Kansas,1991,Washington,District of Columbia
2930,Terrence Ross,201,93,University of Washington,1991,Portland,Oregon
2931,Robert Sacre,213,122,Gonzaga University,1989,Baton Rouge,Louisiana
2932,Mike Scott,203,107,University of Virginia,1988,Chesapeake,Virginia
2933,Henry Sims,208,112,Georgetown University,1990,Baltimore,Maryland
2934,Kyle Singler,203,103,Duke University,1988,Medford,Oregon
2935,Jared Sullinger,206,117,Ohio State University,1992,Columbus,Ohio
2936,Jeffery Taylor,193,79,Texas Tech University,1960,Blytheville,Arkansas
2937,Tyshawn Taylor,190,83,University of Kansas,1990,Hoboken,New Jersey
2938,Marquis Teague,188,85,University of Kentucky,1993,Indianapolis,Indiana
2939,Jarvis Varnado,206,104,Mississippi State University,1988,Fairfax,Virginia
2940,Dion Waiters,193,102,Syracuse University,1991,Philadelphia,Pennsylvania
2941,Maalik Wayns,188,90,Villanova University,1991,Philadelphia,Pennsylvania
2942,Tony Wroten,198,92,University of Washington,1993,Seattle,Washington
2943,Luke Zeller,211,111,University of Notre Dame,1987,Ames,Iowa
2944,Tyler Zeller,213,114,University of North Carolina,1990,Visalia,California
2945,Steven Adams,213,115,University of Pittsburgh,1993,Rotorua,New Zealand
2946,Chris Babb,196,102,Iowa State University,1990,Arlington,Texas
2947,Anthony Bennett,203,111,"University of Nevada, Las Vegas",1993,Toronto,Canada
2948,Vander Blue,193,90,Marquette University,1992,Milwaukee,Wisconsin
2949,Lorenzo Brown,196,85,North Carolina State University,1990,Roswell,Georgia
2950,Reggie Bullock,201,92,University of North Carolina,1991,Baltimore,Maryland
2951,Trey Burke,185,86,University of Michigan,1992,Columbus,Ohio
2952,Dwight Buycks,190,86,Marquette University,1989,Milwaukee,Wisconsin
2953,Nick Calathes,198,96,University of Florida,1989,Casselberry,Florida
2954,Kentavious Caldwell-Pope,196,92,University of Georgia,1993,Thomaston,Georgia
2955,Isaiah Canaan,183,91,Murray State University,1991,Biloxi,Mississippi
2956,Michael Carter-Williams,198,86,Syracuse University,1991,Hamilton,Massachusetts
2957,Dionte Christmas,196,92,Temple University,1986,Philadelphia,Pennsylvania
2958,Ian Clark,190,79,Belmont University,1991,Memphis,Tennessee
2959,Robert Covington,206,97,Tennessee State University,1990,Bellwood,Illinois
2960,Allen Crabbe,198,95,University of California,1992,Los Angeles,California
2961,Seth Curry,188,83,Duke University,1990,Charlotte,North Carolina
2962,Troy Daniels,193,92,Virginia Commonwealth University,1991,Roanoke,Virginia
2963,Brandon Davies,208,108,Brigham Young University,1991,Philadelphia,Pennsylvania
2964,Dewayne Dedmon,213,111,University of Southern California,1989,Lancaster,California
2965,Matthew Dellavedova,193,89,Saint Mary's College of California,1990,Maryborough,Australia
2966,Gorgui Dieng,211,109,University of Louisville,1990,Kebemer,Senegal
2967,Shane Edwards,201,99,University of Arkansas at Little Rock,1987,Los Angeles,California
2968,Carrick Felix,198,91,Arizona State University,1990,Las Vegas,Arizona
2969,Jamaal Franklin,196,86,San Diego State University,1991,Moreno Valley,California
2970,Archie Goodwin,196,90,University of Kentucky,1994,Little Rock,Arkansas
2971,Jorge Gutierrez,190,86,University of California,1988,Chihuahua,Mexico
2972,Justin Hamilton,213,117,Louisiana State University,1990,Newport Beach,California
2973,Elias Harris,203,108,Gonzaga University,1989,Speyer,Germany
2974,Solomon Hill,201,102,University of Arizona,1991,Los Angeles,California
2975,Scotty Hopson,201,92,University of Tennessee,1989,Hopkinsville,Kentucky
2976,Robbie Hummel,203,97,Purdue University,1989,Valparaiso,Indiana
2977,Ryan Kelly,211,104,Duke University,1991,Carmel,New York
2978,Shane Larkin,180,79,University of Miami,1992,Cincinnati,Ohio
2979,Alex Len,216,117,University of Maryland,1993,Antratsit,Ukraine
2980,Ray McCallum,190,86,University of Detroit Mercy,1991,Madison,Wisconsin
2981,Ben McLemore,196,88,University of Kansas,1993,St. Louis,Missouri
2982,Gal Mekel,190,86,Wichita State University,1988,Petah Tikva,Israel
2983,Tony Mitchell,201,92,Purdue University,1966,Toledo,Ohio
2984,Shabazz Muhammad,198,101,"University of California, Los Angeles",1992,Los Angeles,California
2985,Erik Murphy,208,104,University of Florida,1990,Lyon,France
2986,Toure' Murry,196,88,Wichita State University,1989,Houston,Texas
2987,Mike Muscala,211,108,Bucknell University,1991,St. Louis Park,Minnesota
2988,James Nunnally,201,92,"University of California, Santa Barbara",1990,San Jose,California
2989,Victor Oladipo,193,95,Indiana University,1992,Silver Spring,Maryland
2990,Kelly Olynyk,213,107,Gonzaga University,1991,Toronto,Canada
2991,Arinze Onuaku,206,115,Syracuse University,1987,Lanham,Maryland
2992,Mason Plumlee,211,111,Duke University,1990,Fort Wayne,Indiana
2993,Otto Porter,203,89,Georgetown University,1993,St. Louis,Missouri
2994,Phil Pressey,180,79,University of Missouri,1991,Dallas,Texas
2995,Andre Roberson,196,83,Oral Roberts University,1955,Chattanooga,Tennessee
2996,Peyton Siva,183,83,University of Louisville,1990,Seattle,Washington
2997,Tony Snell,201,90,University of New Mexico,1991,Riverside,California
2998,James Southerland,203,97,Syracuse University,1990,Queens,New York
2999,Adonis Thomas,201,90,University of Memphis,1993,Memphis,Tennessee
3000,Hollis Thompson,203,93,Georgetown University,1991,Pasadena,California
3001,Casper Ware,178,79,"California State University, Long Beach",1990,Cerritos,California
3002,Royce White,203,95,University of South Alabama,1959,Tuskegee,Alabama
3003,Jeff Withey,213,104,University of Kansas,1990,San Diego,California
3004,Nate Wolters,193,86,South Dakota State University,1991,St. Cloud,Minnesota
3005,Cody Zeller,213,108,Indiana University,1992,Washington,Indiana
3006,Jordan Adams,196,94,"University of California, Los Angeles",1994,Atlanta,Georgia
3007,Kyle Anderson,206,104,"University of California, Los Angeles",1993,New York,New York
3008,Cameron Bairstow,206,113,University of New Mexico,1990,Brisbane,Australia
3009,Jerrelle Benimon,203,111,Towson University,1991,Warrenton,Virginia
3010,Sim Bhullar,226,163,New Mexico State University,1992,Ontario,Canada
3011,Tarik Black,206,113,University of Kansas,1991,Memphis,Tennessee
3012,Jabari Brown,193,97,University of Missouri,1992,Oakland,California
3013,Markel Brown,190,83,Murray State University,1974,West Memphis,Arkansas
3014,Will Cherry,183,83,University of Montana,1991,Oakland,California
3015,Patrick Christopher,196,94,University of California,1988,Compton,California
3016,Jordan Clarkson,196,87,University of Missouri,1992,Tampa,Florida
3017,Jack Cooley,206,117,University of Notre Dame,1991,Evanston,Illinois
3018,Bryce Cotton,185,74,Providence College,1992,Tucson,Arizona
3019,Andre Dawkins,196,97,Duke University,1991,Fairfax,Virginia
3020,Spencer Dinwiddie,198,90,University of Colorado,1993,Los Angeles,California
3021,Cleanthony Early,203,95,Wichita State University,1991,Middletown,New York
3022,James Ennis,201,95,"California State University, Long Beach",1990,Ventura,California
3023,Tyler Ennis,190,87,Syracuse University,1994,Brampton,Canada
3024,Tim Frazier,185,77,Pennsylvania State University,1990,Houston,Texas
3025,Langston Galloway,188,90,Saint Joseph's University,1991,Baton Rouge,Louisiana
3026,Aaron Gordon,206,99,University of Arizona,1995,San Jose,California
3027,Drew Gordon,206,111,University of New Mexico,1990,San Jose,California
3028,Jerami Grant,203,95,Syracuse University,1994,Portland,Oregon
3029,Erick Green,193,83,Virginia Polytechnic Institute and State University,1991,Inglewood,California
3030,JaMychal Green,206,102,University of Alabama,1990,Montgomery,Alabama
3031,Gary Harris,193,95,Michigan State University,1994,Fishers,Indiana
3032,Joe Harris,198,99,University of Virginia,1991,Chelan,Washington
3033,Rodney Hood,203,93,Duke University,1992,Meridian,Mississippi
3034,Cory Jefferson,206,98,Baylor University,1990,Tacoma,Washington
3035,Grant Jerrett,208,106,University of Arizona,1993,Costa Mesa,California
3036,Nick Johnson,190,91,University of Arizona,1992,Tempe,Arizona
3037,Tyler Johnson,193,84,"California State University, Fresno",1992,Grand Forks,North Dakota
3038,Sean Kilpatrick,193,95,University of Cincinnati,1990,Yonkers,New York
3039,Alex Kirk,213,111,University of New Mexico,1991,Los Alamos,New Mexico
3040,Zach LaVine,196,85,"University of California, Los Angeles",1995,Renton,Washington
3041,Kalin Lucas,185,88,Michigan State University,1989,Sterling Heights,Michigan
3042,Devyn Marble,198,90,University of Iowa,1992,Southfield,Michigan
3043,Doug McDermott,203,102,Creighton University,1992,Grand Forks,North Dakota
3044,Mitch McGary,208,115,University of Michigan,1992,Chesterton,Indiana
3045,Jerel McNeal,190,90,Marquette University,1987,Chicago,Illinois
3046,Elijah Millsap,198,102,University of Alabama at Birmingham,1987,Grambling,Louisiana
3047,Eric Moreland,208,107,Oregon State University,1991,Houston,Texas
3048,Shabazz Napier,185,79,University of Connecticut,1991,Roxbury,Massachusetts
3049,Nerlens Noel,211,103,University of Kentucky,1994,Malden,Massachusetts
3050,Johnny O'Bryant,206,116,Louisiana State University,1993,Cleveland,Mississippi
3051,Jabari Parker,203,113,Duke University,1995,Chicago,Illinois
3052,Adreian Payne,208,107,Michigan State University,1991,Dayton,Ohio
3053,Elfrid Payton,193,83,University of Louisiana at Lafayette,1994,Gretna,Louisiana
3054,Dwight Powell,211,108,Stanford University,1991,Toronto,Canada
3055,Julius Randle,206,113,University of Kentucky,1994,Dallas,Texas
3056,JaKarr Sampson,211,106,University of California,1983,Inglewood,California
3057,Marcus Smart,193,99,Oklahoma State University,1994,Flower Mound,Texas
3058,Russ Smith,183,74,University of Louisville,1991,New York,New York
3059,Nik Stauskas,198,92,University of Michigan,1993,Mississauga,Canada
3060,David Stockton,180,74,Gonzaga University,1991,Spokane,Washington
